installation_name,known_hostname,working_installation_url,installation_status,something_blocking_api_use,API_token_used,get_installation_version_api_status,dataverse_version,dataverse_version_sanitized,search_api_status,dataset_count,dataset_count_range,sample_dataset_pid,get_dataverse_json_export_api_status,get_metadatablocks_api_status,datacite_client_id
TRR170-DB,planetary-data-portal.org,https://planetary-data-portal.org,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,157,100–499,doi:10.35003/CMIJ3M,OK,OK,tib.trr170-db
KU Leuven RDR,rdr.kuleuven.be,https://rdr.kuleuven.be,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,806,500–999,doi:10.48804/3U1UM2,OK,OK,brvz.rdr
Repositório de Datos Abiertos de Investigación (Redata),redata.anii.org.uy,https://redata.anii.org.uy,200,FALSE,FALSE,OK,6.4,6.4,OK,146,100–499,doi:10.60895/redata/ZWBWQF,OK,OK,anii.anii
Reposítorio SoilData,repositorio.soildata.mapbiomas.org,https://repositorio.soildata.mapbiomas.org,200,FALSE,FALSE,OK,5.12.1,5.12.1,OK,301,100–499,doi:10.60502/SoilData/LOOGRU,OK,OK,mpbiomas.soildata
Repositorio de Datos de Investigación Universidad del Rosario,research-data.urosario.edu.co,https://research-data.urosario.edu.co,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,105,100–499,doi:10.34848/FTYBNA,OK,OK,udr.researchdata
CUHK Research Data Repository,researchdata.cuhk.edu.hk,https://researchdata.cuhk.edu.hk,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,153,100–499,doi:10.48668/U2GK0W,OK,OK,wklx.uftoeh
PolyU Research Data Repository,researchdata.lib.polyu.edu.hk,https://researchdata.lib.polyu.edu.hk,200,FALSE,FALSE,OK,6.1,6.1,OK,27,0–99,doi:10.60933/PRDR/A458PH,OK,OK,ntdt.eahzco
NIE Data Repository,researchdata.nie.edu.sg,https://researchdata.nie.edu.sg,200,FALSE,FALSE,OK,5.10.1,5.10.1,OK,329,100–499,doi:10.25340/R4/YSKRJI,OK,OK,gdcc.ntu
DR-NTU (Data),researchdata.ntu.edu.sg,https://researchdata.ntu.edu.sg,200,FALSE,FALSE,OK,6.1,6.1,OK,2076,"1,000–4,999",doi:10.21979/N9/JEXRAQ,OK,OK,gdcc.ntu
Sano,sano.rodbuk.pl,https://sano.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,3,0–99,doi:10.71580/SANO/GVPFQ5,OK,OK,azgb.sanodv
DANS Data Station Social Sciences and Humanities,ssh.datastations.nl,https://ssh.datastations.nl,200,FALSE,FALSE,OK,6.9,6.9,OK,8113,"5,000–9,999",doi:10.17026/DANS-X72-CZHH,OK,OK,dans.archive
RODBUK UEK,uek.rodbuk.pl,https://uek.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,41,0–99,doi:10.58116/UEK/ABZ9XQ,OK,OK,uek.wgkfkr
RODBUK UJ,uj.rodbuk.pl,https://uj.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,901,500–999,doi:10.57903/UJ/T3WAAV,OK,OK,emhz.rodbukuj
University of Wroclaw,uwr.rodbuk.pl,https://uwr.rodbuk.pl,200,FALSE,FALSE,OK,6.7.1,6.7.1,OK,141,100–499,doi:10.34616/QFOGEK,OK,OK,psnc.uwr
SODHA,www.sodha.be,https://www.sodha.be,200,FALSE,FALSE,OK,5.13,5.13,OK,189,100–499,doi:10.34934/DVN/5YUNB1,OK,OK,sab.sab
Abacus,abacus.library.ubc.ca,https://abacus.library.ubc.ca,200,FALSE,FALSE,OK,5.9,5.9,OK,2609,"1,000–4,999",hdl:11272.1/AB2/YOTLSR,OK,OK,
CedapDados,cedapdados.ufrgs.br,https://cedapdados.ufrgs.br,"ERROR: HTTPSConnectionPool(host='cedapdados.ufrgs.br', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66e210>, 'Connection to cedapdados.ufrgs.br timed out. (connect timeout=20)'))",FALSE,FALSE,"HTTPSConnectionPool(host='cedapdados.ufrgs.br', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66e5d0>, 'Connection to cedapdados.ufrgs.br timed out. (connect timeout=60)'))",,,"HTTPSConnectionPool(host='cedapdados.ufrgs.br', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a66ead0>, 'Connection to cedapdados.ufrgs.br timed out. (connect timeout=60)'))",,,,,"HTTPSConnectionPool(host='cedapdados.ufrgs.br', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11a7091d0>, 'Connection to cedapdados.ufrgs.br timed out. (connect timeout=60)'))",
Repositório Piloto da Rede Nacional de Ensino e Pesquisa,dadosabertos.rnp.br,https://dadosabertos.rnp.br,"ERROR: HTTPSConnectionPool(host='dadosabertos.rnp.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a3cb750>: Failed to resolve 'dadosabertos.rnp.br' ([Errno 8] nodename nor servname provided, or not known)""))",FALSE,FALSE,"HTTPSConnectionPool(host='dadosabertos.rnp.br', port=443): Max retries exceeded with url: /api/v1/info/version (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66e210>: Failed to resolve 'dadosabertos.rnp.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,"HTTPSConnectionPool(host='dadosabertos.rnp.br', port=443): Max retries exceeded with url: /api/v1/search?q=*&fq=-metadataSource:%22Harvested%22&type=dataset&per_page=1&sort=date&order=desc (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a66efd0>: Failed to resolve 'dadosabertos.rnp.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,"HTTPSConnectionPool(host='dadosabertos.rnp.br', port=443): Max retries exceeded with url: /api/v1/metadatablocks (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x11a708190>: Failed to resolve 'dadosabertos.rnp.br' ([Errno 8] nodename nor servname provided, or not known)""))",
BRIN Dataverse,data.brin.go.id,https://data.brin.go.id,200,FALSE,FALSE,OK,6.3,6.3,OK,5277,"5,000–9,999",hdl:20.500.12690/RIN/7QBRKQ,OK,OK,
CIFOR,data.cifor.org,https://data.cifor.org,200,FALSE,TRUE,OK,4.2,4.2,OK,331,100–499,doi:10.17528/CIFOR/DATA.00337,OK,OK,
