deposit_id	deposit_type	deposit_createdate	deposit_publicationdate	deposit_parent_dataverse	user_account_id_of_deposit	user_account_createdate	user_account_type	affiliation	account_email_domain
2779553	Dataset	2016-01-27	2016-01-27	473	1606	2000-01-01	builtin	ifw	ifw-kiel.de
2781592	Dataset	2016-01-28	2016-01-28	2176	4345	2000-01-01	builtin	Colorado State University	gmail.com
2782147	Dataset	2016-01-31	2016-04-21	1419	13375	2000-01-01	builtin	The Ohio State University	osu.edu
2788191	Dataset	2016-02-25	2016-02-29	2788069	13558	2000-01-01	builtin	UC San Francisco	ucsf.edu
2836719	Dataset	2016-05-28	2017-03-03	1672	4540	2000-01-01	builtin	University of Georgia	gmail.com
2839328	Dataset	2016-06-05	2016-06-13	1	14439	2000-01-01	builtin	University of Canterbury	gmail.com
2836334	Dataset	2016-05-25	2017-03-07	1837	6103	2000-01-01	builtin	Northwestern University Feinberg School of Medicine	northwestern.edu
2838988	Dataset	2016-05-31	2016-06-01	2701507	12985	2000-01-01	builtin	HCPDS	hsph.harvard.edu
2836847	Dataset	2016-05-31	2016-06-29	1419	14408	2000-01-01	builtin	University of Alabama	ua.edu
2784932	Dataset	2016-02-18	2016-03-23	2692453	11838	2000-01-01	builtin	Wageningen University and Research Centre	wur.nl
2789106	Dataset	2016-02-26	2016-02-26	1	13546	2000-01-01	builtin	Bioversity international	cgiar.org
2835385	Dataset	2016-05-25	2017-12-28	1702	3051	2000-01-01	builtin	Washington University in St. Louis	wustl.edu
2836373	Dataset	2016-05-26	2016-05-26	2836372	8161	2000-01-01	builtin	Sciences Po	gmail.com
2836604	Dataset	2016-05-28	2016-06-01	2836601	14384	2000-01-01	builtin		gmail.com
2836606	Dataset	2016-05-28	2016-05-28	2836601	14384	2000-01-01	builtin		gmail.com
2789676	Dataset	2016-02-29	2016-06-14	1419	13481	2000-01-01	builtin	University of Oslo	stv.uio.no
2839513	Dataset	2016-06-06	2016-06-07	2890	9507	2000-01-01	builtin	Uni Research Rokkan Center	post.harvard.edu
2840468	Dataset	2016-06-13	2017-06-20	2840467	14504	2000-01-01	builtin	RA	gmail.com
2802437	Dataset	2016-04-14	2016-08-29	1419	13985	2000-01-01	builtin		columbia.edu
2839573	Dataset	2016-06-07	2016-06-07	473	861	2000-01-01	builtin		ifw-kiel.de
2813385	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813537	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2825111	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825732	Dataset	2016-05-09	2016-05-09	2492	8530	2000-01-01	builtin		gmail.com
2825746	Dataset	2016-05-09	2016-05-09	2492	8530	2000-01-01	builtin		gmail.com
3146734	Dataverse	2018-04-23	2018-04-24	1	22850	2018-04-23	orcid	University of Leicester	leicester.ac.uk
2799873	Dataset	2016-04-05	2016-04-05	2942	10130	2000-01-01	shib	Harvard University	hbs.edu
2801392	Dataset	2016-04-07	2016-04-07	1	13344	2000-01-01	builtin	Massachusetts General Hospital	mgh.harvard.edu
2809893	Dataset	2016-05-05	2016-05-05	758	14180	2000-01-01	builtin	Harvard Extension School	gmail.com
2808991	Dataset	2016-05-03	2016-06-06	258	11521	2000-01-01	builtin	Clemson University	gmail.com
2803055	Dataset	2016-04-19	2017-04-14	2961	314	2000-01-01	builtin	Stanford	stanford.edu
2804146	Dataset	2016-04-20	2016-05-12	2799099	2692	2000-01-01	builtin	Northeastern University / Harvard University	northeastern.edu
2805221	Dataset	2016-04-26	2017-02-28	2972	11322	2000-01-01	builtin	University of Georgia	uga.edu
2809131	Dataset	2016-05-03	2016-05-03	1	3030	2000-01-01	builtin	Harvard University	fas.harvard.edu
2809850	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2809878	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2809948	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2810073	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2810674	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2810739	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2810837	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2810879	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2811340	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2811683	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2811686	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2811988	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2812683	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2812708	Dataset	2016-05-05	2016-05-05	2492	8530	2000-01-01	builtin		gmail.com
2812797	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813097	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813373	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813406	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813451	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2813541	Dataset	2016-05-06	2016-05-06	2492	8530	2000-01-01	builtin		gmail.com
2824853	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2824882	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825050	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2826100	Dataset	2016-05-09	2017-06-21	1419	6271	2000-01-01	builtin	University of California, Davis	ucdavis.edu
2825085	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825091	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825097	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825143	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825179	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825443	Dataset	2016-05-08	2016-05-08	2492	8530	2000-01-01	builtin		gmail.com
2825483	Dataset	2016-05-09	2016-05-09	2492	8530	2000-01-01	builtin		gmail.com
2845809	Dataset	2016-06-28	2016-06-28	1808	5987	2000-01-01	orcid	Penn State	gmail.com
